2024-03-21 16:47:08,655 INFO    MainThread:10054 [wandb_setup.py:_flush():68] Configure stats pid to 10054
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_setup.py:_flush():68] Loading settings from /home/rhino/.config/wandb/settings
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_setup.py:_flush():68] Loading settings from /home/rhino/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/settings
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_init.py:_log_setup():478] Logging user logs to /home/rhino/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240321_164708-dk9dm5hj/logs/debug.log
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_init.py:_log_setup():479] Logging internal logs to /home/rhino/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240321_164708-dk9dm5hj/logs/debug-internal.log
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_init.py:init():518] calling init triggers
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2024-03-21 16:47:08,656 INFO    MainThread:10054 [wandb_init.py:init():537] re-initializing run, found existing run on stack: chexva0a
2024-03-21 16:47:08,657 INFO    MainThread:10054 [wandb_run.py:_finish():1844] finishing run olsr/nyc_airbnb/chexva0a
2024-03-21 16:47:08,682 INFO    MainThread:10054 [jupyter.py:save_history():478] saving 5 cells to _session_history.ipynb
2024-03-21 16:47:08,682 INFO    MainThread:10054 [wandb_run.py:_config_callback():1249] config_cb ('_wandb', 'session_history') code/_session_history.ipynb None
2024-03-21 16:47:08,684 INFO    MainThread:10054 [jupyter.py:_save_ipynb():390] looking for notebook: eda.ipynb
2024-03-21 16:47:08,914 INFO    MainThread:10054 [wandb_init.py:_jupyter_teardown():409] saved code and history: <wandb.sdk.wandb_artifacts.Artifact object at 0x7fb4afe56bb0>
2024-03-21 16:47:08,914 INFO    MainThread:10054 [wandb_init.py:_jupyter_teardown():410] cleaning up jupyter logic
2024-03-21 16:47:08,914 INFO    MainThread:10054 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2024-03-21 16:47:08,914 INFO    MainThread:10054 [wandb_run.py:_restore():2053] restore
2024-03-21 16:47:08,914 INFO    MainThread:10054 [wandb_run.py:_restore():2059] restore done
2024-03-21 16:47:20,111 INFO    MainThread:10054 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2024-03-21 16:47:20,111 INFO    MainThread:10054 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2024-03-21 16:47:20,112 INFO    MainThread:10054 [wandb_run.py:_footer_sync_info():3383] logging synced files
2024-03-21 16:47:20,115 INFO    MainThread:10054 [wandb_init.py:init():571] starting backend
2024-03-21 16:47:20,115 INFO    MainThread:10054 [wandb_init.py:init():575] setting up manager
2024-03-21 16:47:20,117 INFO    MainThread:10054 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-21 16:47:20,117 INFO    MainThread:10054 [wandb_init.py:init():582] backend started and connected
2024-03-21 16:47:20,118 INFO    MainThread:10054 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2024-03-21 16:47:20,118 INFO    MainThread:10054 [wandb_init.py:init():670] updated telemetry
2024-03-21 16:47:20,123 INFO    MainThread:10054 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2024-03-21 16:47:21,534 INFO    MainThread:10054 [wandb_run.py:_on_init():2121] communicating current version
2024-03-21 16:47:21,722 INFO    MainThread:10054 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-21 16:47:21,722 INFO    MainThread:10054 [wandb_init.py:init():758] starting run threads in backend
2024-03-21 16:47:23,876 INFO    MainThread:10054 [wandb_run.py:_console_start():2101] atexit reg
2024-03-21 16:47:23,876 INFO    MainThread:10054 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2024-03-21 16:47:23,876 INFO    MainThread:10054 [wandb_run.py:_redirect():2024] Wrapping output streams.
2024-03-21 16:47:23,876 INFO    MainThread:10054 [wandb_run.py:_redirect():2046] Redirects installed.
2024-03-21 16:47:23,877 INFO    MainThread:10054 [wandb_init.py:init():798] run started, returning control to user process
2024-03-21 16:50:34,349 INFO    MainThread:10054 [wandb_run.py:_finish():1844] finishing run olsr/nyc_airbnb/dk9dm5hj
2024-03-21 16:50:34,349 INFO    MainThread:10054 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2024-03-21 16:50:34,349 INFO    MainThread:10054 [wandb_run.py:_restore():2053] restore
2024-03-21 16:50:34,349 INFO    MainThread:10054 [wandb_run.py:_restore():2059] restore done
2024-03-21 16:50:42,106 INFO    MainThread:10054 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2024-03-21 16:50:42,106 INFO    MainThread:10054 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2024-03-21 16:50:42,108 INFO    MainThread:10054 [wandb_run.py:_footer_sync_info():3383] logging synced files
